Código Departamento;Departamento;Código Entidad;Entidad;Dimensión;Subcategoría;Indicador;Dato Numérico;Dato Cualitativo;Año;Mes;Fuente;Unidad de Medida
01;Colombia;01001;Colombia;Ordenamiento Territorial;Catastro;Total de predios;14.702.892,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05000;Antioquia;Ordenamiento Territorial;Catastro;Total de predios;2.105.872,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05001;Medellín;Ordenamiento Territorial;Catastro;Total de predios;858.067,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05002;Abejorral;Ordenamiento Territorial;Catastro;Total de predios;10.292,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05004;Abriaquí;Ordenamiento Territorial;Catastro;Total de predios;1.146,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05021;Alejandría;Ordenamiento Territorial;Catastro;Total de predios;2.388,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05030;Amagá;Ordenamiento Territorial;Catastro;Total de predios;8.956,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05031;Amalfi;Ordenamiento Territorial;Catastro;Total de predios;6.878,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05034;Andes;Ordenamiento Territorial;Catastro;Total de predios;13.186,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05036;Angelópolis;Ordenamiento Territorial;Catastro;Total de predios;2.014,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05038;Angostura;Ordenamiento Territorial;Catastro;Total de predios;4.740,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05040;Anorí;Ordenamiento Territorial;Catastro;Total de predios;5.303,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05042;Santafé de Antioquia;Ordenamiento Territorial;Catastro;Total de predios;13.022,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05044;Anzá;Ordenamiento Territorial;Catastro;Total de predios;2.976,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05045;Apartadó;Ordenamiento Territorial;Catastro;Total de predios;30.546,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05051;Arboletes;Ordenamiento Territorial;Catastro;Total de predios;8.485,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05055;Argelia;Ordenamiento Territorial;Catastro;Total de predios;3.780,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05059;Armenia;Ordenamiento Territorial;Catastro;Total de predios;1.868,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05079;Barbosa;Ordenamiento Territorial;Catastro;Total de predios;16.266,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05086;Belmira;Ordenamiento Territorial;Catastro;Total de predios;2.157,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05088;Bello;Ordenamiento Territorial;Catastro;Total de predios;107.926,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05091;Betania;Ordenamiento Territorial;Catastro;Total de predios;3.106,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05093;Betulia;Ordenamiento Territorial;Catastro;Total de predios;5.798,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05101;Ciudad Bolívar;Ordenamiento Territorial;Catastro;Total de predios;7.770,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05107;Briceño;Ordenamiento Territorial;Catastro;Total de predios;2.660,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05113;Buriticá;Ordenamiento Territorial;Catastro;Total de predios;3.222,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05120;Cáceres;Ordenamiento Territorial;Catastro;Total de predios;7.089,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05125;Caicedo;Ordenamiento Territorial;Catastro;Total de predios;3.047,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05129;Caldas;Ordenamiento Territorial;Catastro;Total de predios;18.231,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05134;Campamento;Ordenamiento Territorial;Catastro;Total de predios;3.310,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05138;Cañasgordas;Ordenamiento Territorial;Catastro;Total de predios;6.065,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05142;Caracolí;Ordenamiento Territorial;Catastro;Total de predios;1.784,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05145;Caramanta;Ordenamiento Territorial;Catastro;Total de predios;3.299,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05147;Carepa;Ordenamiento Territorial;Catastro;Total de predios;12.942,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05148;El Carmen de Viboral;Ordenamiento Territorial;Catastro;Total de predios;18.036,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05150;Carolina;Ordenamiento Territorial;Catastro;Total de predios;1.871,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05154;Caucasia;Ordenamiento Territorial;Catastro;Total de predios;24.008,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05172;Chigorodó;Ordenamiento Territorial;Catastro;Total de predios;18.148,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05190;Cisneros;Ordenamiento Territorial;Catastro;Total de predios;3.287,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05197;Cocorná;Ordenamiento Territorial;Catastro;Total de predios;7.489,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05206;Concepción;Ordenamiento Territorial;Catastro;Total de predios;3.447,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05209;Concordia;Ordenamiento Territorial;Catastro;Total de predios;5.768,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05212;Copacabana;Ordenamiento Territorial;Catastro;Total de predios;21.475,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05234;Dabeiba;Ordenamiento Territorial;Catastro;Total de predios;6.325,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05237;Don Matías;Ordenamiento Territorial;Catastro;Total de predios;6.979,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05240;Ebéjico;Ordenamiento Territorial;Catastro;Total de predios;5.832,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05250;El Bagre;Ordenamiento Territorial;Catastro;Total de predios;11.327,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05264;Entrerrios;Ordenamiento Territorial;Catastro;Total de predios;4.139,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05266;Envigado;Ordenamiento Territorial;Catastro;Total de predios;91.819,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05282;Fredonia;Ordenamiento Territorial;Catastro;Total de predios;8.712,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05284;Frontino;Ordenamiento Territorial;Catastro;Total de predios;5.550,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05306;Giraldo;Ordenamiento Territorial;Catastro;Total de predios;2.305,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05308;Girardota;Ordenamiento Territorial;Catastro;Total de predios;14.132,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05310;Gómez Plata;Ordenamiento Territorial;Catastro;Total de predios;3.878,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05313;Granada;Ordenamiento Territorial;Catastro;Total de predios;8.298,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05315;Guadalupe;Ordenamiento Territorial;Catastro;Total de predios;2.471,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05318;Guarne;Ordenamiento Territorial;Catastro;Total de predios;18.687,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05321;Guatapé;Ordenamiento Territorial;Catastro;Total de predios;3.508,00;;2012;12;IGAC;Millones de pesos corrientes
05;Antioquia;05347;Heliconia;Ordenamiento Territorial;Catastro;Total de predios;2.829,00;;2012;12;IGAC;Millones de pesos corrientes
